1	416
1	127
416	2176
416	257
416	2050
416	1539
416	1541
416	1286
416	1601
416	1544
416	1291
416	1165
416	14
416	2575
416	2833
416	1426
416	2451
416	2606
416	2690
416	1047
416	1944
416	2842
416	2715
416	1375
416	30
416	517
416	32
416	2593
416	1315
416	1573
416	934
416	2471
416	623
416	810
416	2475
416	939
416	1326
416	1117
416	688
416	1459
416	1758
416	1078
416	1720
416	2105
416	415
416	2081
416	2624
416	2113
416	1803
416	1206
416	1953
416	1609
416	1610
416	588
416	1647
416	1871
416	1104
416	632
416	1618
416	416
416	212
416	1237
416	2519
416	1496
416	2087
416	1187
416	1628
416	1373
416	1630
416	1317
416	1579
416	102
416	2343
416	1516
416	978
416	1751
416	2159
416	2355
416	879
416	2579
416	2677
416	1911
416	771
416	1787
416	1663
127	2176
127	1539
127	2822
127	1032
127	1628
127	1739
127	2606
127	1594
127	1500
127	858
7	701
12	1309
15	104
15	1974
19	1632
19	1605
19	2630
19	553
19	270
19	2510
19	2263
19	187
1632	1024
1632	513
1632	1027
1632	4
1632	5
1632	1032
1632	1035
1632	1549
1632	1040
1632	1539
1632	1556
1632	1050
1632	1057
1632	2083
1632	36
1632	2089
1632	2090
1632	178
1632	2611
1632	2101
1632	1592
1632	2106
1632	1086
1632	2113
1632	2126
1632	81
1632	1107
1632	1622
1632	1627
1632	3
1632	1121
1632	98
1632	1639
1632	2159
1632	2164
1632	1470
1632	1142
1632	119
1632	2168
1632	2170
1632	2176
1632	650
1632	2187
1632	2189
1632	659
1632	2713
1632	1186
1632	2729
1632	2731
1632	1710
1632	1201
1632	2226
1632	2230
1632	2743
1632	2754
1632	1735
1632	1143
1632	720
1632	2773
1632	1750
1632	1240
1632	548
1632	2790
1632	1768
1632	1831
1632	1772
1632	1776
1632	1777
1632	242
1632	1269
1632	1274
1632	1792
1632	1238
1632	783
1632	2832
1632	1811
1632	788
1632	288
1632	1316
1632	807
1632	2345
1632	1323
1632	1338
1632	1342
1632	1857
1632	330
1632	2379
1632	1876
1632	1883
1632	1886
1632	1889
1632	1890
1632	1385
1632	2535
1632	877
1632	2195
1632	372
1632	376
1632	1632
1632	1914
1632	2427
1632	1405
1632	1407
1632	2369
1632	1260
1632	2447
1632	1937
1632	2450
1632	2453
1632	2458
1632	923
1632	412
1632	1953
1632	1959
1632	1961
1632	2475
1632	436
1632	437
1632	1974
1632	955
1632	958
1632	449
1632	1995
1632	1996
1632	674
1632	1528
1632	2006
1632	985
1632	1507
1632	1509
1632	1105
1632	2036
1632	528
1632	504
20	353
20	2023
20	2588
20	2285
20	2350
20	1072
20	336
20	2683
20	796
20	2143
353	1436
353	346
353	804
353	724
353	1397
2683	20
796	512
796	1249
796	1539
796	2630
796	2406
796	225
796	620
796	2699
796	204
796	2130
796	2478
796	2193
796	1938
796	1683
796	2526
796	1367
796	2715
796	671
